Number;Name;Provider;Tag;Channel File Name;Service File Name;Service Type;picon
1017;ServusTV Deutschland;ServusTV;SDTV;79a8ead9983079647e22ce0044fcb88c;1a5ac17585d613ec6ead70031eb98e62;1;picon://1_0_1_3336_45B_1_C00000_0_0_0.png
1018;TELE 5;BetaDigital;SDTV;57bf8a7d496a71ca16186be33e7ff2b0;035461f99bb281c06bce389a8e2c457f;1;**ERROR** Icon not Found.
1020;ANIXE SD;BetaDigital;SDTV;8fbb2707ca03bdf8d93098d25383fd68;43b7c893b5f09cacae47f6cb07fe4918;1;picon://1_0_1_2FC_5_85_C00000_0_0_0.png
1051;13th Street;SKY;SDTV;8db04d8d3a6fc53e2bf95f4fadd052a6;42cd84e9dd4a1206dbf5aa7956999afc;22;picon://1_0_16_2A_2_85_C00000_0_0_0.png
1053;Syfy;SKY;SDTV;e709d08c8cb16273ad88f4f4bf659b07;9aed1ef43ec7c628557346c6051139a4;22;**ERROR** Icon not Found.
1054;Fox Serie;SKY;SDTV;3238ef60bc0b3335600aa997534570e8;dcc6d2b8cc8e84b8dfbbe0f50e3d832b;22;picon://1_0_16_10_2_85_C00000_0_0_0.png
1058;TNT Serie;SKY;SDTV;79e03da2c1dd56f150f17c266efd367b;9598e551a5409c8558f8df8b21f8771f;22;**ERROR** Icon not Found.
1060;RTL Crime;SKY;SDTV;18e1ad6ffc006525b374a9b1676386c7;c2df6eab43c07bb3de0e1d6f85d263e8;22;picon://1_0_16_1B_4_85_C00000_0_0_0.png
1072;Discovery Channel;SKY;SDTV;7c033dc36a861abe237056fb4fe82d0b;b6cac61cf479a8f5359dcfa9e2984787;22;picon://1_0_16_E_4_85_C00000_0_0_0.png
1073;National Geographic;SKY;SDTV;393b42f6d07661343d3891cd016c33c4;2ae3f143a0e507bc8b9a96d1b9a34dbc;22;picon://1_0_16_D_4_85_C00000_0_0_0.png
1074;NatGeo Wild;SKY;SDTV;ac5c9054a99318e49fa3611b213d5c3d;58f6169d880fd1092d907f9208ee7d9e;22;picon://1_0_16_C_2_85_C00000_0_0_0.png
1075;Spiegel Geschichte;SKY;SDTV;a84f3501217046cca85034b32db7df9e;d1ed56969821b9e6d3ea4fd7492ba11e;22;picon://1_0_16_34_2_85_C00000_0_0_0.png
1102;Eurosport Deutschland;SES Astra;SDTV;1d078df5378b855bcbb8231b29e40683;76a983f9702dd9b30dc607cdc34d238c;22;picon://1_0_1_79E0_443_1_C00000_0_0_0.png
